Series Name	Series Code	Country Name	Country Code	2019 [YR2019]	2020 [YR2020]	2021 [YR2021]	2022 [YR2022]	2023 [YR2023]
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Afghanistan	AFG	86.803	84.296	82.565	79.735	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Africa Eastern and Southern	AFE	99.0855722587841	97.4135847695511	96.1814423061056	94.6881808086008	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Africa Western and Central	AFW	108.778535718496	107.580168950022	106.548067770779	104.671711904197	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Albania	ALB	15.013	14.672	14.517	14.46	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Algeria	DZA	12.303	12.057	11.714	11.564	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	American Samoa	ASM	30.65	30.191	30.036	29.989	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Andorra	AND	5.985	6.091	5.887	5.91	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Angola	AGO	141.278	139.825	138.402	135.792	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Antigua and Barbuda	ATG	30.83	32.959	33.11	32.262	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Arab World	ARB	47.4953387335782	46.5675612532463	45.6949406320179	44.6225285359955	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Argentina	ARG	46.153	39.866	39.065	37.932	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Armenia	ARM	19.041	18.571	18.511	18.305	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Aruba	ABW	18.906	16.522	14.154	13.697	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Australia	AUS	8.938	8.081	8.096	7.731	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Austria	AUT	5.499	5.363	5.521	5.243	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Azerbaijan	AZE	49.404	41.797	40.079	40.081	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Bahamas, The	BHS	26.022	25.84	25.686	25.079	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Bahrain	BHR	9.676	9.185	8.676	8.714	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Bangladesh	BGD	77.678	76.411	75.496	73.345	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Barbados	BRB	42.163	42.421	42.297	41.864	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Belarus	BLR	11.83	11.904	11.85	11.191	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Belgium	BEL	5.304	5.239	5.33	5.105	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Belize	BLZ	64.404	56.671	57.127	56.569	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Benin	BEN	93.897	92.935	92.259	90.835	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Bermuda	BMU	7.417	7.641	7.542	7.429	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Bhutan	BTN	19.659	19.242	18.977	18.481	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Bolivia	BOL	65.629	64.383	63.792	63.073	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Bosnia and Herzegovina	BIH	10.223	10.049	9.86	9.384	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Botswana	BWA	51.149	50.083	49.324	48.343	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	Brazil	BRA	50.015	46.296	45.2	43.582	..
Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	British Virgin Islands	VGB	13.661	14.116	14.482	14.098	..
